,date,new_cases,new_deaths,new_tests,new_vaccinations,hosp_patients,icu_patients,stringency_index,reproduction_rate,total_cases,total_tests,total_vaccinations,people_vaccinated,total_boosters,lag_1,lag_2,lag_3,lag_7,lag_14,rolling_mean_3,rolling_std_3,rolling_mean_7,rolling_std_7,target_t_plus,date_t_plus
50,2022-09-18,24222.366666666665,60.63333333333333,211010.4621596244,172031.6265610329,1842.2135289195492,202.8344257343,13.158373929853632,1.0368071428571428,5020181.966666667,42725067.526074834,27379422.61973443,6256351.3,5152581.766666667,63.03333333333333,73.03333333333333,81.4,137.0,57.53333333333333,65.56666666666666,6.576726642744851,86.61904761904762,23.609491634470604,66.13333333333334,51.0
51,2022-09-25,28461.166666666668,66.13333333333334,211010.4621596244,181852.77100547732,1853.896862252882,201.9987114485857,12.957373929853633,1.0278219047619048,5048643.133333334,42725067.526074834,27464831.93882784,5881808.733333333,5034446.166666667,60.63333333333333,63.03333333333333,73.03333333333333,122.03333333333333,63.5,63.26666666666667,2.7574142476946726,78.63333333333334,18.545170081004283,85.16666666666667,52.0
52,2022-10-02,38927.9,85.16666666666667,211010.4621596244,185431.5265610329,1949.661828239277,212.13646655062652,12.904421548901249,1.0310661904761904,5087571.033333333,42725067.526074834,27562549.99522283,6017611.3,5018888.866666666,66.13333333333334,60.63333333333333,63.03333333333333,110.3,70.2,70.64444444444445,12.873760278324328,75.04285714285716,12.994909463236574,108.5,53.0
53,2022-10-09,46020.3,108.5,211010.4621596244,183156.14878325508,2094.58359694676,231.33986791117073,12.772040596520299,0.9783576190476191,5133591.333333333,42725067.526074834,27669243.399236873,5948052.0,5069669.8,85.16666666666667,66.13333333333334,60.63333333333333,95.9,83.16666666666667,86.60000000000001,21.219671167209555,76.84285714285714,16.70771294814809,121.86666666666666,54.0
54,2022-10-16,46766.6,121.86666666666666,211010.4621596244,191310.64878325508,2213.05978742295,249.1514325370211,12.772040596520299,0.9050019047619048,5180357.933333334,42725067.526074834,27811844.272298533,6156571.133333334,5344762.733333333,108.5,85.16666666666667,66.13333333333334,81.4,97.1,105.17777777777776,18.574185591040955,82.62380952380953,23.96986313320085,124.3,55.0
55,2022-10-23,39799.166666666664,124.3,211010.4621596244,189973.25989436623,2263.652984701862,257.02014002001425,12.600326310806013,0.8532133333333333,5220157.1,42725067.526074834,27967203.174725275,6007301.133333334,5193675.7,121.86666666666666,108.5,85.16666666666667,73.03333333333333,126.53333333333333,118.22222222222221,8.507142968208935,89.94761904761904,28.038028785938216,107.46666666666667,56.0
56,2022-10-30,27867.833333333332,107.46666666666667,211010.4621596244,186752.14322769956,2213.255025518188,252.24190872749725,12.494707263186964,0.8558528571428571,5248024.933333334,42725067.526074834,28095448.38191392,5805829.066666666,5225656.7,124.3,121.86666666666666,108.5,63.03333333333333,139.83333333333334,117.87777777777778,9.098005479431677,96.2952380952381,25.87559574244613,82.53333333333333,57.0
57,2022-11-06,19949.933333333334,82.53333333333333,211010.4621596244,168753.61544992175,2135.269311232474,243.2738815166129,12.494707263186964,0.8392433333333333,5267974.866666666,42725067.526074834,28197752.98354701,5943200.833333333,5240250.333333333,107.46666666666667,124.3,121.86666666666666,60.63333333333333,137.0,104.76666666666665,21.013831423878276,99.42380952380952,21.857041532428525,79.5,58.0
58,2022-11-13,17845.633333333335,79.5,211010.4621596244,172688.74322769957,2065.8720323209095,230.6970107683136,12.494707263186964,0.8720790476190476,5285820.5,42725067.526074834,28297052.25502137,6195472.0,5411767.566666666,82.53333333333333,107.46666666666667,124.3,66.13333333333334,122.03333333333333,89.83333333333333,15.346045455138324,101.33333333333334,18.83949751630089,76.63333333333334,59.0
59,2022-11-20,19103.233333333334,76.63333333333334,211010.4621596244,168948.0321165884,2056.169991504583,222.77796314926596,12.309469167948869,0.9147547619047619,5304923.733333333,42725067.526074834,28378631.669749696,6009396.4,5472381.8,79.5,82.53333333333333,107.46666666666667,85.16666666666667,110.3,79.55555555555556,2.9503923154172638,100.11428571428571,20.28088734583456,75.4,60.0
60,2022-11-27,21174.3,75.4,211010.4621596244,163577.43767214398,2067.489039123631,220.86843933974217,11.80694535842506,0.9518847619047618,5326098.033333333,42725067.526074834,28447896.57177961,5319092.733333333,4860122.666666667,76.63333333333334,79.5,82.53333333333333,108.5,95.9,77.17777777777776,2.1035243794338916,95.38571428571427,21.801553267319424,82.06666666666666,61.0
61,2022-12-04,25069.766666666666,82.06666666666666,211010.4621596244,161955.98211658842,2129.3818962664877,224.22082029212314,11.62189773937744,0.9785042857142857,5351167.8,42725067.526074834,28510336.36095238,6411822.733333333,5837130.233333333,75.4,76.63333333333334,79.5,121.86666666666666,81.4,78.03333333333332,3.5469862011529165,89.7,18.715907276571638,95.63333333333334,62.0
62,2022-12-11,27342.866666666665,95.63333333333334,211010.4621596244,165405.27100547732,2240.8699915045827,230.56367743498024,11.410469167948868,0.96181,5378510.666666667,42725067.526074834,28566980.471428573,6080704.766666667,5415687.5,82.06666666666666,75.4,76.63333333333334,124.3,73.03333333333333,84.36666666666666,10.310889604903355,85.6047619047619,11.707253664281422,114.06666666666666,63.0
63,2022-12-18,26935.666666666668,114.06666666666666,211010.4621596244,166560.0487832551,2371.365229599821,241.80177267307548,11.384040596520297,0.9037190476190475,5405446.333333333,42725067.526074834,28620540.74047619,5945847.033333333,5414828.233333333,95.63333333333334,82.06666666666666,75.4,107.46666666666667,63.03333333333333,97.25555555555555,16.061559815402937,86.54761904761905,13.833973976369853,128.03333333333333,64.0
